"Atomic habits","James Clear","2018","9780735211292","578,448","4.38"
"The monk who sold his ferrari","Robin Sharma","1999","9780062515674","144,556","3.88"
"The name of the wind","Patrick Rothfuss","2007","9780756404079","881,786","4.52"
"Rich Dad, Poor Dad","Robert T. Kiyosaki","1997","9780751532715","578,448","4.12"
"Who wil cry when you die","Robin S.Sharma","2002","9781401900120","22,630","3.99"
